"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"","video","28","402766","0.0-4.0-0.12","3","","[""Clips/GOSk15.mp4""]","","",""
"","survey-likert","29","410351","0.0-4.0-1.12","3","7581","","","","{""Q0"":3}"
"","video","30","436793","0.0-4.0-0.13","3","","[""Clips/ASk11.mp4""]","","",""
"","survey-likert","31","441422","0.0-4.0-1.13","3","4627","","","","{""Q0"":3}"
"","video","32","454590","0.0-4.0-0.14","3","","[""Clips/ASk8.mp4""]","","",""
"","survey-likert","33","463199","0.0-4.0-1.14","3","8606","","","","{""Q0"":4}"
"","video","34","477040","0.0-4.0-0.15","3","","[""Clips/GOSk11.mp4""]","","",""
"","survey-likert","35","483095","0.0-4.0-1.15","3","6051","","","","{""Q0"":3}"
"","video","36","505696","0.0-4.0-0.16","3","","[""Clips/GOSk10.mp4""]","","",""
"","survey-likert","37","509679","0.0-4.0-1.16","3","3981","","","","{""Q0"":5}"
"","video","38","525278","0.0-4.0-0.17","3","","[""Clips/NPSk12.mp4""]","","",""
"","survey-likert","39","529518","0.0-4.0-1.17","3","4239","","","","{""Q0"":4}"
"","video","40","545577","0.0-4.0-0.18","3","","[""Clips/NPSk1.mp4""]","","",""
"","survey-likert","41","550591","0.0-4.0-1.18","3","5011","","","","{""Q0"":3}"
"","video","42","565926","0.0-4.0-0.19","3","","[""Clips/GOSk8.mp4""]","","",""
"","survey-likert","43","569983","0.0-4.0-1.19","3","4055","","","","{""Q0"":4}"
"","video","44","586576","0.0-4.0-0.20","3","","[""Clips/GOSk12.mp4""]","","",""
"","survey-likert","45","595935","0.0-4.0-1.20","3","9357","","","","{""Q0"":3}"
"","video","46","614931","0.0-4.0-0.21","3","","[""Clips/ASk12.mp4""]","","",""
"","survey-likert","47","618263","0.0-4.0-1.21","3","3329","","","","{""Q0"":3}"
"","video","48","641936","0.0-4.0-0.22","3","","[""Clips/NPSk7.mp4""]","","",""
"","survey-likert","49","644599","0.0-4.0-1.22","3","2661","","","","{""Q0"":2}"
"","video","50","657430","0.0-4.0-0.23","3","","[""Clips/ASk7.mp4""]","","",""
"","survey-likert","51","660447","0.0-4.0-1.23","3","3014","","","","{""Q0"":2}"
"","video","52","673844","0.0-4.0-0.24","3","","[""Clips/NPSk4.mp4""]","","",""
"","survey-likert","53","679175","0.0-4.0-1.24","3","5329","","","","{""Q0"":3}"
"","video","54","692925","0.0-4.0-0.25","3","","[""Clips/NPSk15.mp4""]","","",""
"","survey-likert","55","699335","0.0-4.0-1.25","3","6407","","","","{""Q0"":4}"
"","video","56","711940","0.0-4.0-0.26","3","","[""Clips/GOSk1.mp4""]","","",""
"","survey-likert","57","787592","0.0-4.0-1.26","3","75648","","","","{""Q0"":3}"
"","html-keyboard-response","58","808775","0.0-5.0","3","21182","<p>Debrief.<br /> These videos were originally annotated with 'goal-oriented', 'aimless play' or 'no play'. <br /> This study aimed to validate our assumption that these annotations also tell us how engaged the children were with their task. <br /> We showed you these videos to see if you would agree that 'goal-oriented play' = 'high engagement', 'aimless play' = 'medium engagement' and 'no play' = 'low engagement'. <br /> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <br /> Press any key to continue. </p>","32","",""
"","html-keyboard-response","59","812335","0.0-6.0","3","3559","<p>You have reached the end of the experiment.<br /> Thank you very much for participating!<br /><strong> Press SPACE to finish the experiment.</strong></p>","32","",""
