"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"","video","32","497921","0.0-4.0-0.14","4","","[""Clips/GO9.mp4""]","","",""
"","survey-likert","33","501293","0.0-4.0-1.14","4","3370","","","","{""Q0"":5}"
"","video","34","515251","0.0-4.0-0.15","4","","[""Clips/A13.mp4""]","","",""
"","survey-likert","35","518501","0.0-4.0-1.15","4","3247","","","","{""Q0"":1}"
"","video","36","541287","0.0-4.0-0.16","4","","[""Clips/GO4.mp4""]","","",""
"","survey-likert","37","544556","0.0-4.0-1.16","4","3267","","","","{""Q0"":6}"
"","video","38","567157","0.0-4.0-0.17","4","","[""Clips/GO10.mp4""]","","",""
"","survey-likert","39","569980","0.0-4.0-1.17","4","2820","","","","{""Q0"":6}"
"","video","40","583736","0.0-4.0-0.18","4","","[""Clips/NP15.mp4""]","","",""
"","survey-likert","41","588803","0.0-4.0-1.18","4","5065","","","","{""Q0"":5}"
"","video","42","601000","0.0-4.0-0.19","4","","[""Clips/A14.mp4""]","","",""
"","survey-likert","43","608251","0.0-4.0-1.19","4","7248","","","","{""Q0"":4}"
"","video","44","625202","0.0-4.0-0.20","4","","[""Clips/A6.mp4""]","","",""
"","survey-likert","45","627924","0.0-4.0-1.20","4","2719","","","","{""Q0"":6}"
"","video","46","651789","0.0-4.0-0.21","4","","[""Clips/GO6.mp4""]","","",""
"","survey-likert","47","654532","0.0-4.0-1.21","4","2740","","","","{""Q0"":6}"
"","video","48","672571","0.0-4.0-0.22","4","","[""Clips/NP6.mp4""]","","",""
"","survey-likert","49","679707","0.0-4.0-1.22","4","7133","","","","{""Q0"":3}"
"","video","50","699392","0.0-4.0-0.23","4","","[""Clips/NP10.mp4""]","","",""
"","survey-likert","51","702556","0.0-4.0-1.23","4","3161","","","","{""Q0"":0}"
"","video","52","717273","0.0-4.0-0.24","4","","[""Clips/NP13.mp4""]","","",""
"","survey-likert","53","721363","0.0-4.0-1.24","4","4088","","","","{""Q0"":1}"
"","video","54","744910","0.0-4.0-0.25","4","","[""Clips/A4.mp4""]","","",""
"","survey-likert","55","748187","0.0-4.0-1.25","4","3273","","","","{""Q0"":5}"
"","video","56","765010","0.0-4.0-0.26","4","","[""Clips/GO7.mp4""]","","",""
"","survey-likert","57","767299","0.0-4.0-1.26","4","2287","","","","{""Q0"":6}"
"","html-keyboard-response","58","790339","0.0-5.0","4","23038","<p>Thank You. <br /> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <br /> Press any key to continue. </p>","32","",""
"","html-keyboard-response","59","790866","0.0-6.0","4","526","<p>You have reached the end of the experiment.<br /> Thank you very much for participating!<br /><strong> Press SPACE to finish the experiment.</strong></p>","32","",""
