"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"","survey-likert","33","688640","0.0-4.0-1.14","3","13372","","","","{""Q0"":4}"
"","video","34","704639","0.0-4.0-0.15","3","","[""Clips/A5.mp4""]","","",""
"","survey-likert","35","709024","0.0-4.0-1.15","3","4383","","","","{""Q0"":3}"
"","video","36","740200","0.0-4.0-0.16","3","","[""Clips/A1.mp4""]","","",""
"","survey-likert","37","744657","0.0-4.0-1.16","3","4453","","","","{""Q0"":5}"
"","video","38","758530","0.0-4.0-0.17","3","","[""Clips/NP15.mp4""]","","",""
"","survey-likert","39","768760","0.0-4.0-1.17","3","10227","","","","{""Q0"":4}"
"","video","40","784150","0.0-4.0-0.18","3","","[""Clips/GO8.mp4""]","","",""
"","survey-likert","41","789080","0.0-4.0-1.18","3","4927","","","","{""Q0"":4}"
"","video","42","801697","0.0-4.0-0.19","3","","[""Clips/GO1.mp4""]","","",""
"","survey-likert","43","807319","0.0-4.0-1.19","3","5620","","","","{""Q0"":3}"
"","video","44","826133","0.0-4.0-0.20","3","","[""Clips/NP11.mp4""]","","",""
"","survey-likert","45","830663","0.0-4.0-1.20","3","4529","","","","{""Q0"":3}"
"","video","46","850051","0.0-4.0-0.21","3","","[""Clips/NP5.mp4""]","","",""
"","survey-likert","47","857055","0.0-4.0-1.21","3","7002","","","","{""Q0"":4}"
"","video","48","877189","0.0-4.0-0.22","3","","[""Clips/GO15.mp4""]","","",""
"","survey-likert","49","883831","0.0-4.0-1.22","3","6641","","","","{""Q0"":4}"
"","video","50","907345","0.0-4.0-0.23","3","","[""Clips/A4.mp4""]","","",""
"","survey-likert","51","910872","0.0-4.0-1.23","3","3522","","","","{""Q0"":5}"
"","video","52","930029","0.0-4.0-0.24","3","","[""Clips/A12.mp4""]","","",""
"","survey-likert","53","947439","0.0-4.0-1.24","3","17407","","","","{""Q0"":5}"
"","video","54","959502","0.0-4.0-0.25","3","","[""Clips/GO5.mp4""]","","",""
"","survey-likert","55","966151","0.0-4.0-1.25","3","6646","","","","{""Q0"":3}"
"","video","56","979334","0.0-4.0-0.26","3","","[""Clips/A8.mp4""]","","",""
"","survey-likert","57","992519","0.0-4.0-1.26","3","13182","","","","{""Q0"":3}"
"","html-keyboard-response","58","997006","0.0-5.0","3","4486","<p>Thank You. <br /> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <br /> Press any key to continue. </p>","32","",""
"","html-keyboard-response","59","1007855","0.0-6.0","3","10847","<p>You have reached the end of the experiment.<br /> Thank you very much for participating!<br /><strong> Press SPACE to finish the experiment.</strong></p>","32","",""
