"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"","video","36","610471","0.0-4.0-0.16","5","","[""Clips/A14.mp4""]","","",""
"","survey-likert","37","615861","0.0-4.0-1.16","5","5388","","","","{""Q0"":1}"
"","video","38","630920","0.0-4.0-0.17","5","","[""Clips/NP8.mp4""]","","",""
"","survey-likert","39","634485","0.0-4.0-1.17","5","3562","","","","{""Q0"":1}"
"","video","40","648234","0.0-4.0-0.18","5","","[""Clips/NP15.mp4""]","","",""
"","survey-likert","41","652068","0.0-4.0-1.18","5","3832","","","","{""Q0"":5}"
"","video","42","667465","0.0-4.0-0.19","5","","[""Clips/GO8.mp4""]","","",""
"","survey-likert","43","671517","0.0-4.0-1.19","5","4050","","","","{""Q0"":6}"
"","video","44","688681","0.0-4.0-0.20","5","","[""Clips/A15.mp4""]","","",""
"","survey-likert","45","692845","0.0-4.0-1.20","5","4161","","","","{""Q0"":3}"
"","video","46","709414","0.0-4.0-0.21","5","","[""Clips/GO12.mp4""]","","",""
"","survey-likert","47","714460","0.0-4.0-1.21","5","5045","","","","{""Q0"":5}"
"","video","48","728845","0.0-4.0-0.22","5","","[""Clips/A3.mp4""]","","",""
"","survey-likert","49","731972","0.0-4.0-1.22","5","3125","","","","{""Q0"":5}"
"","video","50","758435","0.0-4.0-0.23","5","","[""Clips/NP14.mp4""]","","",""
"","survey-likert","51","763284","0.0-4.0-1.23","5","4847","","","","{""Q0"":1}"
"","video","52","787574","0.0-4.0-0.24","5","","[""Clips/A10.mp4""]","","",""
"","survey-likert","53","792404","0.0-4.0-1.24","5","4827","","","","{""Q0"":5}"
"","video","54","812560","0.0-4.0-0.25","5","","[""Clips/GO14.mp4""]","","",""
"","survey-likert","55","817324","0.0-4.0-1.25","5","4761","","","","{""Q0"":6}"
"","video","56","837012","0.0-4.0-0.26","5","","[""Clips/NP10.mp4""]","","",""
"","survey-likert","57","841643","0.0-4.0-1.26","5","4629","","","","{""Q0"":0}"
"","html-keyboard-response","58","864403","0.0-5.0","5","22758","<p>Thank You. <br /> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <br /> Press any key to continue. </p>","32","",""
"","html-keyboard-response","59","864819","0.0-6.0","5","415","<p>You have reached the end of the experiment.<br /> Thank you very much for participating!<br /><strong> Press SPACE to finish the experiment.</strong></p>","32","",""
