"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"","survey-likert","27","270308","0.0-4.0-1.11","2","3854","","","","{""Q0"":5}"
"","video","28","287828","0.0-4.0-0.12","2","","[""Clips/GO13.mp4""]","","",""
"","survey-likert","29","289602","0.0-4.0-1.12","2","1764","","","","{""Q0"":6}"
"","video","30","307524","0.0-4.0-0.13","2","","[""Clips/NP3.mp4""]","","",""
"","survey-likert","31","309171","0.0-4.0-1.13","2","1640","","","","{""Q0"":5}"
"","video","32","330568","0.0-4.0-0.14","2","","[""Clips/GO3.mp4""]","","",""
"","survey-likert","33","333370","0.0-4.0-1.14","2","2800","","","","{""Q0"":6}"
"","video","34","361397","0.0-4.0-0.15","2","","[""Clips/GO2.mp4""]","","",""
"","survey-likert","35","363803","0.0-4.0-1.15","2","2404","","","","{""Q0"":6}"
"","video","36","379191","0.0-4.0-0.16","2","","[""Clips/GO8.mp4""]","","",""
"","survey-likert","37","381691","0.0-4.0-1.16","2","2496","","","","{""Q0"":6}"
"","video","38","400682","0.0-4.0-0.17","2","","[""Clips/NP11.mp4""]","","",""
"","survey-likert","39","402299","0.0-4.0-1.17","2","1614","","","","{""Q0"":4}"
"","video","40","416695","0.0-4.0-0.18","2","","[""Clips/A3.mp4""]","","",""
"","survey-likert","41","420115","0.0-4.0-1.18","2","3417","","","","{""Q0"":6}"
"","video","42","432408","0.0-4.0-0.19","2","","[""Clips/A14.mp4""]","","",""
"","survey-likert","43","434154","0.0-4.0-1.19","2","1744","","","","{""Q0"":5}"
"","video","44","446780","0.0-4.0-0.20","2","","[""Clips/GO1.mp4""]","","",""
"","survey-likert","45","448739","0.0-4.0-1.20","2","1954","","","","{""Q0"":4}"
"","video","46","475299","0.0-4.0-0.21","2","","[""Clips/NP14.mp4""]","","",""
"","survey-likert","47","478235","0.0-4.0-1.21","2","2931","","","","{""Q0"":0}"
"","video","48","492282","0.0-4.0-0.22","2","","[""Clips/A13.mp4""]","","",""
"","survey-likert","49","495691","0.0-4.0-1.22","2","3407","","","","{""Q0"":1}"
"","video","50","512582","0.0-4.0-0.23","2","","[""Clips/NP9.mp4""]","","",""
"","survey-likert","51","514578","0.0-4.0-1.23","2","1992","","","","{""Q0"":6}"
"","video","52","538309","0.0-4.0-0.24","2","","[""Clips/NP7.mp4""]","","",""
"","survey-likert","53","540403","0.0-4.0-1.24","2","2091","","","","{""Q0"":3}"
"","video","54","553529","0.0-4.0-0.25","2","","[""Clips/A2.mp4""]","","",""
"","survey-likert","55","555898","0.0-4.0-1.25","2","2366","","","","{""Q0"":6}"
"","video","56","568789","0.0-4.0-0.26","2","","[""Clips/A7.mp4""]","","",""
"","survey-likert","57","571242","0.0-4.0-1.26","2","2449","","","","{""Q0"":6}"
"","html-keyboard-response","58","592463","0.0-5.0","2","21217","<p>Debrief.<br /> These videos were originally annotated with 'goal-oriented', 'aimless play' or 'no play'. <br /> This study aimed to validate our assumption that these annotations also tell us how engaged the children were with their task. <br /> We showed you these videos to see if you would agree that 'goal-oriented play' = 'high engagement', 'aimless play' = 'medium engagement' and 'no play' = 'low engagement'. <br /> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <br /> Press any key to continue. </p>","13","",""
"","html-keyboard-response","59","595318","0.0-6.0","2","2855","<p>You have reached the end of the experiment.<br /> Thank you very much for participating!<br /><strong> Press SPACE to finish the experiment.</strong></p>","32","",""
